Instance;Heuristic;Iterations;Average cost;Best cost;Average performance time(s);Best performance time(s);GAP(%);Average GAP(%)
n3m10A;Initial solution;1;24861.000;24861;;8.420000085607171e-05;232.23306160630764;
n3m10A;GREEDY;1;16060.000;16060;;3.2511790999997174;114.61980489108646;
n3m10A;VND;5;15046.857142857143;8940;0.00017480640022404258;0.0004211999985272996;19.47080048109047;101.0805444722323
n3m10A;ILS;501;11614.176470588236;7483;0.1734729916998258;0.17350399999850197;0.0;55.207489918324676
n3m10A;GRASP;500;7483.000;7483;;116.1015350000016;0.0;
n3m10A;VNS;665;11655.636363636364;7483;0.07683796269989397;0.09423290000268025;0.0;55.76154434900927
n3m10B;Initial solution;1;4002.000;4002;;3.669999568955973e-05;213.3907595927956;
n3m10B;GREEDY;1;7688.000;7688;;0.0001109000004362315;502.03602192639;
n3m10B;VND;5;4022.5;1277;0.00018272820024139947;0.0002741999996942468;0.0;214.99608457321847
n3m10B;ILS;760;3276.4666666666667;1277;0.17571089669991488;0.2521959000005154;0.0;156.5753067084312
n3m10B;GRASP;500;1277.000;1277;;104.49661190000188;0.0;
n3m10B;VNS;522;2714.222222222222;1277;0.07421718320007495;0.07618050000019139;0.0;112.54676759766814
n3m10C;Initial solution;1;15081.000;15081;;4.1200000850949436e-05;622.2701149425287;
n3m10C;GREEDY;1;4087.000;4087;;0.0004888999974355102;95.7375478927203;
n3m10C;VND;5;5523.384615384615;2088;0.00017606590003560997;0.00023879999935161322;0.0;164.52991452991455
n3m10C;ILS;502;4962.375;2088;0.16787875300010638;0.16176390000327956;0.0;137.66163793103448
n3m10C;GRASP;500;2088.000;2088;;104.09408429999894;0.0;
n3m10C;VNS;553;4109.222222222223;2088;0.06921425790004286;0.07626410000375472;0.0;96.80183056619838
n3m10D;Initial solution;1;5314.000;5314;;3.899999865097925e-05;1550.3105590062112;
n3m10D;GREEDY;1;6615.000;6615;;0.00011139999696752056;1954.3478260869565;
n3m10D;VND;5;2821.769230769231;510;0.00021811719994002486;0.00037460000021383166;58.38509316770186;776.3258480649785
n3m10D;ILS;799;2391.277777777778;322;0.21048975759995664;0.34873030000017025;0.0;642.6328502415458
n3m10D;GRASP;500;322.000;322;;101.87542399999802;0.0;
n3m10D;VNS;553;2299.625;322;0.08854815190011868;0.07626410000375472;0.0;614.1692546583852
n3m10E;Initial solution;1;4887.000;4887;;4.520000220509246e-05;46.18606042476817;
n3m10E;GREEDY;1;4203.000;4203;;0.00011870000162161887;25.72539635058331;
n3m10E;VND;5;4086.777777777778;3343;0.00022099289998732275;0.0003632000007200986;0.0;22.24881177917373
n3m10E;ILS;727;3920.6;3343;0.21544915399996534;0.3547054999944521;0.0;17.27789410708944
n3m10E;GRASP;500;3343.000;3343;;124.94249519999721;0.0;
n3m10E;VNS;733;3882.375;3343;0.08748183670000435;0.1253971000041929;0.0;16.134460065809154
n3m20A;Initial solution;1;112111.000;112111;;5.070000042906031e-05;246.31019676891236;
n3m20A;GREEDY;1;76976.000;76976;;0.00014259999443311244;137.7783955765607;
n3m20A;VND;5;54609.41463414634;32373;0.00021149830004287652;0.0002503000068827532;0.0;68.68814948922355
n3m20A;ILS;501;53866.519230769234;32373;0.21640730190018076;0.21115170000120997;0.0;66.39335010894644
n3m20A;GRASP;500;47736.000;47736;;172.10875160000433;47.456213511259385;
n3m20A;VNS;1890;51576.31707317073;32373;0.08821523300001718;0.31687320000492036;0.0;59.31892958073311
n3m20B;Initial solution;1;55948.000;55948;;4.290000651963055e-05;197.232109653084;
n3m20B;GREEDY;1;50041.000;50041;;0.00015210000128718093;165.8502895393933;
n3m20B;VND;5;33672.92592592593;20004;0.0002243523999932222;0.00037290000182110816;6.274238962970833;78.89245033164705
n3m20B;ILS;501;34736.48484848485;20004;0.22884479670003202;0.20809100000042235;6.274238962970833;84.54276602287015
n3m20B;GRASP;500;32458.000;32458;;177.05808850000176;72.43797481804175;
n3m20B;VNS;552;31430.862068965518;18823;0.08895990480012551;0.08914699999877485;0.0;66.9811510862536
n3m20C;Initial solution;1;49204.000;49204;;3.149999974993989e-05;448.6619090098127;
n3m20C;GREEDY;1;31751.000;31751;;0.00015130000247154385;254.04772524531668;
n3m20C;VND;5;17850.5;9568;0.00020423870015656576;0.00023569999757455662;6.6904549509366635;99.04661016949153
n3m20C;ILS;501;17908.464285714286;9568;0.21821385939994797;0.21778379999886965;6.6904549509366635;99.69295590671594
n3m20C;GRASP;500;18404.000;18404;;177.30087500000081;105.2185548617306;
n3m20C;VNS;1806;15890.565217391304;8968;0.08393469180007378;0.3032877000005101;0.0;77.19185121979599
n3m20D;Initial solution;1;24908.000;24908;;3.60000049113296e-05;397.0664538016364;
n3m20D;GREEDY;1;27649.000;27649;;0.0001277999981539324;451.7661145479944;
n3m20D;VND;5;9796.64;5165;0.0001632181000095443;0.0002232000042567961;3.0732388744761523;95.50269407303931
n3m20D;ILS;501;10694.75;5165;0.1695309106001514;0.1729300999941188;3.0732388744761523;113.42546397924563
n3m20D;GRASP;500;12718.000;12718;;135.2093309999982;153.80163639992017;
n3m20D;VNS;897;9572.346153846154;5011;0.07481893930004299;0.12227649999840651;0.0;91.02666441520961
n3m20E;Initial solution;1;30407.000;30407;;3.5400000342633575e-05;500.81011657775144;
n3m20E;GREEDY;1;57277.000;57277;;0.00014910000027157366;1031.7328591187513;
n3m20E;VND;6;16600.57894736842;5969;0.00015978569991420953;0.0002817000058712438;17.941118356056116;228.00985867157522
n3m20E;ILS;501;15799.04347826087;5969;0.1729532910998314;0.1768515999938245;17.941118356056116;212.1723666915801
n3m20E;GRASP;500;11544.000;11544;;134.44351480000478;128.09721398933019;
n3m20E;VNS;828;15719.473684210527;5061;0.06562246880001475;0.11113790000672452;0.0;210.60015183186184
n3m40A;Initial solution;1;303845.000;303845;;5.360000068321824e-05;352.6622370538109;
n3m40A;GREEDY;1;253580.000;253580;;0.00016170000162674114;277.7784399022704;
n3m40A;VND;6;127878.27272727272;81010;0.00017072530013683717;0.0004847000018344261;20.687086586019902;90.51050701280128
n3m40A;ILS;501;130441.47252747252;80958;0.17636258579988498;0.17416439999942668;20.609618020380193;94.32911108913731
n3m40A;GRASP;500;185648.000;185648;;204.36820189999708;176.57469757463798;
n3m40A;VNS;983;112715.19736842105;67124;0.0721441323998879;0.12984750000032363;0.0;67.92085896016484
n3m40B;Initial solution;1;252067.000;252067;;3.899999865097925e-05;455.50731664315936;
n3m40B;GREEDY;1;180079.000;180079;;0.00020529999892460182;296.85957334273627;
n3m40B;VND;5;107655.69387755102;64030;0.00017060859997582156;0.00021890000061830506;41.109837799717916;137.25249884862265
n3m40B;ILS;501;110679.48148148147;64030;0.18410427929990691;0.19112760000280105;41.109837799717916;143.91634670636788
n3m40B;GRASP;500;201293.000;201293;;213.9186753000031;343.61116008462625;
n3m40B;VNS;942;106165.37777777777;45376;0.07330097349990683;0.12309159999858821;0.0;133.96812803635794
n3m40C;Initial solution;1;203519.000;203519;;4.25000034738332e-05;184.0460572226099;
n3m40C;GREEDY;1;170272.000;170272;;0.00020799999765586108;137.6441032798325;
n3m40C;VND;5;118976.15555555555;73738;0.00017970259994035587;0.00026529999740887433;2.914166085136078;66.05185702101264
n3m40C;ILS;501;118447.47826086957;73738;0.19527361510011543;0.19319009999890113;2.914166085136078;65.31399617706849
n3m40C;GRASP;500;255029.000;255029;;219.58920319999743;255.93719469644103;
n3m40C;VNS;514;111765.07692307692;71650;0.07061223029992834;0.07696929999656277;0.0;55.98754629878147
n3m40D;Initial solution;1;111532.000;111532;;4.0700004319660366e-05;436.1342114118156;
n3m40D;GREEDY;1;143041.000;143041;;0.00019919999613193795;587.5979426044321;
n3m40D;VND;5;51611.39024390244;30641;0.00016997309993894305;0.00024220000341301784;47.291256068836226;148.09590080229987
n3m40D;ILS;501;54080.4;30641;0.19154385490013373;0.20875470000464702;47.291256068836226;159.9644282074701
n3m40D;GRASP;500;159613.000;159613;;221.85947020000458;667.2595298754987;
n3m40D;VNS;833;51617.63157894737;20803;0.07583541750004225;0.11264020000089658;0.0;148.1259028935604
n3m40E;Initial solution;1;60264.000;60264;;3.489999653538689e-05;135.85769637196196;
n3m40E;GREEDY;1;157393.000;157393;;0.000210899997910019;515.9954600602716;
n3m40E;VND;5;56913.48275862069;32792;0.00016792920016450808;0.0005846999993082136;28.339399632108332;122.74463918680556
n3m40E;ILS;501;56913.48275862069;32792;0.18713410130002012;0.20875470000464702;28.339399632108332;122.74463918680556
n3m40E;GRASP;500;229138.000;229138;;214.29578449999826;796.7868185198231;
n3m40E;VNS;1118;43279.42307692308;25551;0.0673521438999378;0.15216879999934463;0.0;69.38445883496959
n5m50A;Initial solution;1;346642.000;346642;;3.619999915827066e-05;273.1707054504742;
n5m50A;GREEDY;1;260622.000;260622;;0.00022209999588085338;180.56754690981904;
n5m50A;VND;5;173654.61333333334;110322;0.00020379119984136195;0.000276400001894217;18.765004144642646;86.94449767289979
n5m50A;ILS;501;175986.14457831325;110322;0.20571324009980163;0.20532149999780813;18.765004144642646;89.4544623034667
n5m50A;GRASP;500;235527.000;235527;;269.5392333999989;153.5520125738769;
n5m50A;VNS;990;161610.08571428573;92891;0.08316904889999568;0.15339230000245152;0.0;73.97819564251188
n5m50B;Initial solution;1;300887.000;300887;;3.5099998058285564e-05;488.3939222089681;
n5m50B;GREEDY;1;195469.000;195469;;0.00022250000620260835;282.24573205311225;
n5m50B;VND;5;105835.2;59919;0.00020309400012047263;0.0003225999971618876;17.173475174531163;106.96403778086317
n5m50B;ILS;501;110669.64814814815;59919;0.20781508080005734;0.20766590000130236;17.173475174531163;116.41795206630843
n5m50B;GRASP;500;216640.000;216640;;268.5841892000026;323.6462835129163;
n5m50B;VNS;872;100078.97619047618;51137;0.0832580454998315;0.13486159999592928;0.0;95.70756241171009
n5m50C;Initial solution;1;142468.000;142468;;3.3899996196851134e-05;457.8230227094753;
n5m50C;GREEDY;1;146925.000;146925;;0.00020869999571004882;475.27407987470633;
n5m50C;VND;6;79035.04285714286;47207;0.00019870339999033604;0.00034079999750247225;84.8355520751762;209.4559234813737
n5m50C;ILS;501;79331.37974683545;46862;0.20653274530007912;0.19884160000219708;83.48472983555207;210.61620887562822
n5m50C;GRASP;500;155063.000;155063;;269.39212849999603;507.1378230227095;
n5m50C;VNS;800;70093.515625;25540;0.07820819929995196;0.12935770000331104;0.0;174.44602828895853
n5m50D;Initial solution;1;73962.000;73962;;3.440000000409782e-05;222.04998693721154;
n5m50D;GREEDY;1;136381.000;136381;;0.00015580000035697594;493.83871810502484;
n5m50D;VND;5;65827.44;44869;0.00019534640008350834;0.00027599999884841964;95.37141861882783;186.62997474527566
n5m50D;ILS;501;66883.68965517242;44869;0.20829364000004716;0.22036220000154572;95.37141861882783;191.22916335092057
n5m50D;GRASP;500;192875.000;192875;;270.133087299997;739.8284420447618;
n5m50D;VNS;1098;50974.58620689655;22966;0.08291238149988203;0.17579810000461293;0.0;121.95674565399526
n5m50E;Initial solution;1;63378.000;63378;;3.480000304989517e-05;260.88144858216606;
n5m50E;GREEDY;1;120735.000;120735;;0.00018360000103712082;587.4786470789204;
n5m50E;VND;6;46097.24137931035;30114;0.00020077450016833608;0.0003221000006305985;71.47249743764947;162.48286857596145
n5m50E;ILS;501;46517.34375;30114;0.21380368160005309;0.22319710000010673;71.47249743764947;164.87497864707893
n5m50E;GRASP;500;180252.000;180252;;276.2195386000021;926.3751281175265;
n5m50E;VNS;802;38795.03333333333;17562;0.08384606230003555;0.12942990000010468;0.0;120.90327601260297
